Ex max (nm),Em max (nm),Stokes Shift (nm),Extinction Coefficient,Quantum Yield,Brightness
402.0,457.0,55.0,52000.0,0.63,32.76
642.0,670.0,28.0,180000.0,0.18,32.4
399.0,454.0,55.0,50600.0,0.64,32.38
495.0,512.0,17.0,46000.0,0.7,32.2
501.0,512.0,11.0,90000.0,0.35,31.5
466.0,490.0,24.0,40333.0,0.77,31.06
508.0,524.0,16.0,50000.0,0.62,31.0
548.0,559.0,11.0,51600.0,0.6,30.96
489.0,509.0,20.0,52200.0,0.59,30.8
642.0,670.0,28.0,170000.0,0.18,30.6
497.0,589.0,92.0,40000.0,0.76,30.4
496.0,512.0,16.0,44000.0,0.69,30.36
500.0,510.0,10.0,53000.0,0.57,30.21
494.0,505.0,11.0,54000.0,0.55,29.7
404.0,492.0,88.0,30800.0,0.96,29.57
588.0,633.0,45.0,67000.0,0.44,29.48
560.0,587.0,27.0,49500.0,0.59,29.2
611.0,646.0,35.0,126000.0,0.23,28.98
569.0,594.0,25.0,84900.0,0.34,28.87
561.0,587.0,26.0,52000.0,0.55,28.6
432.0,474.0,42.0,47000.0,0.6,28.2
434.0,474.0,40.0,30000.0,0.93,27.9
480.0,505.0,25.0,50000.0,0.55,27.5
475.0,505.0,30.0,50000.0,0.55,27.5
433.0,475.0,42.0,43000.0,0.62,26.66
424.0,490.0,66.0,29500.0,0.9,26.55
456.0,485.0,29.0,42000.0,0.63,26.46
399.0,511.0,112.0,44000.0,0.6,26.4
399.0,511.0,112.0,44000.0,0.6,26.4
406.0,526.0,120.0,45000.0,0.58,26.1
558.0,578.0,20.0,58000.0,0.45,26.1
574.0,596.0,22.0,90000.0,0.29,26.1
495.0,512.0,17.0,42000.0,0.62,26.04
574.0,602.0,28.0,74400.0,0.35,26.04
584.0,628.0,44.0,55000.0,0.47,25.85
487.0,509.0,22.0,86000.0,0.3,25.8
487.0,503.0,16.0,39000.0,0.65,25.35
434.0,474.0,40.0,30000.0,0.84,25.2
588.0,633.0,45.0,62500.0,0.4,25.0
510.0,592.0,82.0,36000.0,0.69,24.84
434.0,474.0,40.0,30000.0,0.82,24.6
472.0,495.0,23.0,27250.0,0.9,24.52
402.0,467.0,65.0,51000.0,0.48,24.48
516.0,592.0,76.0,42000.0,0.58,24.36
571.0,594.0,23.0,71100.0,0.34,24.17
645.0,670.0,25.0,129000.0,0.185,23.86
462.0,490.0,28.0,27600.0,0.86,23.74
440.0,484.0,44.0,49000.0,0.48,23.52
437.0,572.0,135.0,52000.0,0.45,23.4
434.0,472.0,38.0,45000.0,0.52,23.4
430.0,474.0,44.0,26000.0,0.89,23.14
599.0,643.0,44.0,95000.0,0.24,22.8
381.0,449.0,68.0,43000.0,0.53,22.79
506.0,513.0,7.0,58191.0,0.39,22.69
478.0,502.0,24.0,36900.0,0.61,22.51
496.0,506.0,10.0,35600.0,0.63,22.43
433.0,473.0,40.0,43000.0,0.52,22.36
400.0,499.0,99.0,36000.0,0.62,22.32
571.0,606.0,35.0,34100.0,0.65,22.16
588.0,635.0,47.0,65000.0,0.34,22.1
599.0,651.0,52.0,89000.0,0.24,21.36
398.0,503.0,105.0,29000.0,0.73,21.17
458.0,480.0,22.0,37000.0,0.57,21.09
434.0,473.0,39.0,43000.0,0.49,21.07
433.0,475.0,42.0,44000.0,0.46,20.24
474.0,506.0,32.0,26200.0,0.76,19.91
439.0,481.0,42.0,43000.0,0.46,19.78
395.0,509.0,114.0,25000.0,0.79,19.75
540.0,561.0,21.0,36500.0,0.54,19.71
642.0,666.0,24.0,100000.0,0.197,19.7
560.0,589.0,29.0,48000.0,0.41,19.68
432.0,471.0,39.0,39000.0,0.5,19.5
399.0,511.0,112.0,29000.0,0.64,18.56
551.0,592.0,41.0,102685.0,0.18,18.48
379.0,446.0,67.0,41000.0,0.45,18.45
580.0,608.0,28.0,94500.0,0.19,17.95
